point_id,x_coordinate,y_coordinate
1,119.28285,988.84409
2,215.85029,993.43564
3,220.01012,929.50711
4,255.07153,870.17014
5,259.23136,861.69343
6,270.81945,824.60782
7,263.39119,751.84939
8,283.29894,673.79301
9,163.85244,746.90464
10,140.97338,751.84939
11,136.81355,678.73776
12,136.81355,618.3412
13,125.52259,535.69327
14,129.68242,471.41155
15,10.23592,490.13095
16,10.23592,535.69327
17,25.68671,623.28595
18,41.43463,682.62292
19,64.01656,778.6923
20,79.76448,856.74868
21,94.32388,891.00872
22,105.61484,959.1756
23,159.69261,959.1756
24,190.89132,959.1756
25,163.85244,927.03474
26,156.42417,889.94913
27,156.42417,857.80827
28,275.87067,995.90801
29,334.10827,986.37171
30,369.46681,959.1756
31,470.19409,954.23085
32,539.72265,964.12035
33,617.57086,969.06509
34,613.41104,941.86898
35,609.25121,877.58726
36,597.66311,799.88408
37,562.6017,712.29141
38,461.87443,749.37701
39,434.83555,818.25029
40,261.31127,923.14958
41,277.0592,955.29044
42,312.41774,952.81807
43,312.41774,925.62195
44,316.57757,907.25575
45,370.3582,907.25575
46,482.67357,934.45186
47,533.4829,934.45186
48,541.80256,942.92857
49,537.64273,879.00005
50,533.4829,846.85919
51,534.3743,817.1907
52,507.33541,822.13545
53,464.84574,827.08019
54,318.65748,832.02494
55,369.46681,864.1658
56,443.1552,864.1658
57,470.19409,864.1658
58,501.09567,845.4464
59,369.46681,840.50165
60,705.81865,976.48222
61,741.17719,981.42696
62,821.99672,981.42696
63,844.87577,981.42696
64,968.4821,981.42696
65,995.52099,852.86352
66,952.73418,765.27085
67,956.89401,645.53731
68,999.68082,640.59256
69,949.76288,617.28161
70,857.35526,617.28161
71,721.26944,428.32161
72,605.09138,418.43211
73,582.21232,509.90994
74,706.71004,872.64251
75,737.90876,941.86898
76,823.18524,941.86898
77,842.79586,854.27631
78,849.92699,766.68363
79,857.35526,665.3163
80,857.35526,651.89484
81,737.90876,789.99459
82,823.18524,808.36079
83,823.18524,766.68363
84,780.39843,678.73776
85,739.09728,767.74322
86,777.42713,767.74322
87,217.93021,400.0659
88,552.20213,381.3465
89,529.32308,349.20564
90,590.53198,264.08534
91,579.24102,203.68878
92,490.99323,303.64332
93,527.24316,148.23696
94,441.07529,251.72347
95,453.55477,98.78949
96,399.477,207.57394
97,390.26596,241.83398
98,18.55557,169.07554
